product_id,product_name,price,category_id,product_class,modify_date,resistant,is_allergic,vitality_days
1,Flour - Whole Wheat,74.2988,3,Medium,2018-02-16 08:21:49.1900000,Durable,Unknown,0
2,Cookie Chocolate Chip With,91.2329,3,Medium,2017-02-12 11:39:10.9700000,Unknown,Unknown,0
3,Onions - Cippolini,9.1379,9,Medium,2018-03-15 08:11:51.5600000,Weak,False,111
4,"Sauce - Gravy, Au Jus, Mix",54.3055,9,Medium,2017-07-16 00:46:28.8800000,Durable,Unknown,0
5,Artichokes - Jerusalem,65.4771,2,Low,2017-08-16 14:13:35.4300000,Durable,True,27
6,Wine - Magnotta - Cab Sauv,79.7184,8,High,2017-05-25 15:08:39.6900000,Unknown,Unknown,0
7,Table Cloth - 53x69 Colour,31.8370,9,Medium,2017-02-24 15:14:30.0500000,Durable,False,0
8,Halibut - Steaks,89.8573,5,Medium,2018-03-24 05:21:21.8900000,Unknown,True,108
9,Rabbit - Whole,84.4219,11,Medium,2017-06-17 12:12:04.6700000,Durable,Unknown,0
10,Scampi Tail,95.0957,4,Low,2017-07-30 10:11:45.9900000,Weak,True,105
11,Garbage Bags - Clear,6.2949,9,Low,2017-01-05 21:02:21.3300000,Durable,True,67
12,Ezy Change Mophandle,49.3356,4,Medium,2017-11-01 09:49:59.0300000,Durable,True,0
13,"Water, Tap",28.2232,11,Low,2017-01-16 19:49:10.9300000,Durable,False,69
14,Beef - Top Sirloin,3.3324,7,Medium,2017-02-26 11:40:47.8500000,Durable,True,0
15,"Spoon - Soup, Plastic",32.4420,1,Low,2017-03-03 09:47:09.3100000,Weak,True,0
16,Kellogs Special K Cereal,54.7246,2,Low,2017-01-23 09:25:47.1100000,Durable,True,0
17,"Wine - White, Mosel Gold",43.9182,10,Medium,2017-03-01 14:03:04.9200000,Unknown,Unknown,0
18,"Lamb - Whole, Fresh",23.3966,10,Medium,2017-12-19 16:45:04.7300000,Unknown,False,0
19,Tea - Earl Grey,22.5614,3,Medium,2017-06-14 22:39:53.3400000,Weak,True,94
20,Chocolate - Feathers,85.9011,3,Low,2017-07-21 11:13:57.5500000,Durable,True,0
21,Kiwi,46.7252,7,High,2018-05-09 08:59:46.1500000,Durable,Unknown,0
22,Rice - Jasmine Sented,27.8955,6,Medium,2017-05-09 14:08:23.6300000,Weak,Unknown,48
23,Crab - Imitation Flakes,79.0184,11,Medium,2017-08-19 07:18:29.8900000,Durable,True,0
24,"Beer - Alexander Kieths, Pale Ale",89.0370,3,Medium,2017-05-23 03:36:02.4200000,Durable,True,65
25,Soupcontfoam16oz 116con,80.7666,10,High,2017-04-09 15:30:41.2500000,Durable,True,0
26,Squid U5 - Thailand,33.7821,11,Medium,2018-03-26 19:31:26.9700000,Weak,False,10
27,Chocolate - Compound Coating,17.1724,1,Medium,2017-10-29 17:27:27.2800000,Unknown,Unknown,86
28,Sobe - Tropical Energy,12.3153,9,High,2017-10-25 04:23:48.2300000,Durable,True,0
29,Spinach - Baby,33.5883,7,Low,2017-08-06 17:21:24.0000000,Durable,True,50
30,"Cheese - Brie, Triple Creme",67.8990,6,Low,2018-03-21 19:28:46.7400000,Weak,Unknown,72
31,Yeast Dry - Fermipan,73.9851,2,Medium,2017-04-17 23:33:06.1100000,Durable,False,0
32,Lettuce - Treviso,96.4127,3,High,2017-01-09 18:29:05.7900000,Durable,True,0
33,Beans - Wax,45.5551,10,Medium,2017-02-01 15:20:22.8600000,Weak,True,0
34,Mustard Prepared,43.3463,6,Medium,2017-09-21 16:05:20.8200000,Weak,Unknown,7
35,"Water - Mineral, Natural",15.7233,6,Low,2017-10-01 15:36:07.0800000,Durable,True,97
36,Table Cloth 54x72 White,69.2574,9,Low,2018-03-04 18:24:57.5000000,Durable,True,0
37,"Nut - Pistachio, Shelled",80.3171,7,Low,2017-02-27 14:01:39.1300000,Unknown,False,0
38,Sage - Ground,81.6579,6,High,2017-09-26 00:45:35.6000000,Weak,False,0
39,Dried Figs,75.2059,11,Medium,2017-08-04 21:51:44.2600000,Weak,False,120
40,Cocktail Napkin Blue,8.9372,8,Low,2017-06-28 03:05:34.4000000,Unknown,Unknown,0
41,"Cup - 6oz, Foam",81.7210,7,Medium,2018-03-15 16:02:55.8600000,Unknown,True,0
42,Bread - Raisin Walnut Oval,81.0488,1,High,2018-04-01 08:39:17.2900000,Weak,False,0
43,Sponge Cake Mix - Chocolate,16.3983,9,High,2017-08-12 13:40:16.8000000,Weak,True,96
